00000410425120190131382000710650000052019012620190226201901310000051880,212019012620190226201901310000051880,210000007992888,290425101250000000000,000000000000,000000000000,000000000000,00
00000420425120190131382000710650000052019012820190228201901310000053668,442019012820190228201901310000053668,440000008506804,590425101290000000000,000000000000,000000000000,000000000000,00
00000430425120190131382000710650000052019012920190228201901310000048787,732019012920190228201901310000048787,730000006577116,350425100970000000000,000000000000,000000000000,000000000000,00
00000440425120190131382000710650000082018103120181130201901310000000297,222018103120181130201901310000000297,220000000079207,490425100010000000000,000000000000,000000000000,000000000000,00
00000450425120190131382000710650000082019010220190202201901310000000114,312019010220190202201901310000000114,310000000117924,870425100010000000000,000000000000,000000000000,000000000000,00
00000460425120190131382000710650000082019011020190210201901310000000015,202019011020190210201901310000000015,200000000001092,900425100010000000000,000000000000,000000000000,000000000000,00
00000470425120190131382000710650000082019012920190228201901310000004293,262019012920190228201901310000004293,260000001407964,040425100570000000000,000000000000,000000000000,000000000000,00
00000480425120190131382000710650000082019013020190228201901310000245070,162019013020190228201901310000245070,160000069162067,670425120220000000000,000000000000,000000000000,000000000000,00
00000490425120190131382000710650000092017020920170309201901310000000170,952017020920170309201901310000000170,950000000094070,840425100010000000000,000000000000,000000000000,000000000000,00
00000500425120190131382000710650000092017021120170311201901310000000157,972017021120170311201901310000000157,970000000084985,010425100010000000000,000000000000,000000000000,000000000000,00
00000510425120190131382000710650000092017021520170315201901310000000228,762017021520170315201901310000000228,760000000096051,740425100010000000000,000000000000,000000000000,000000000000,00
00000520425120190131382000710650000092017060920170709201901310000000002,952017060920170709201901310000000002,950000000020500,000425100010000000000,000000000000,000000000000,000000000000,00
00000530425120190131382000710650000092017070920170809201901310000000017,742017070920170809201901310000000017,740000000021275,120425100020000000000,000000000000,000000000000,000000000000,00
00000540425120190131382000710650000092017081820170918201901310000000186,292017081820170918201901310000000186,290000000059657,270425100010000000000,000000000000,000000000000,000000000000,00
00000550425120190131382000710650000092017091920171019201901310000000184,822017091920171019201901310000000184,820000000010477,280425100010000000000,000000000000,000000000000,000000000000,00
00000560425120190131382000710650000092017100420171104201901310000000089,592017100420171104201901310000000089,590000000044048,090425100010000000000,000000000000,000000000000,000000000000,00
00000570425120190131382000710650000092017120920180109201901310000000014,792017120920180109201901310000000014,790000000000775,120425100010000000000,000000000000,000000000000,000000000000,00
00000580425120190131382000710650000092018013020180228201901310000000036,602018013020180228201901310000000036,600000000013963,740425100010000000000,000000000000,000000000000,000000000000,00
00000590425120190131382000710650000092018020120180301201901310000000071,852018020120180301201901310000000071,850000000059238,160425100010000000000,000000000000,000000000000,000000000000,00
00000600425120190131382000710650000092018021020180310201901310000000167,192018021020180310201901310000000167,190000000068601,980425100010000000000,000000000000,000000000000,000000000000,00
00000610425120190131382000710650000092018021220180312201901310000000080,642018021220180312201901310000000080,640000000013633,260425100010000000000,000000000000,000000000000,000000000000,00
00000620425120190131382000710650000092018022820180328201901310000000036,602018022820180328201901310000000036,600000000013963,740425100010000000000,000000000000,000000000000,000000000000,00
00000630425120190131382000710650000092018030920180409201901310000000001,722018030920180409201901310000000001,720000000021147,100425100010000000000,000000000000,000000000000,000000000000,00
00000640425120190131382000710650000092018040920180509201901310000000001,722018040920180509201901310000000001,720000000021147,100425100010000000000,000000000000,000000000000,000000000000,00
00000650425120190131382000710650000092018050920180609201901310000000345,312018050920180609201901310000000345,310000000086598,200425100030000000000,000000000000,000000000000,000000000000,00
00000660425120190131382000710650000092018051120180611201901310000000031,112018051120180611201901310000000031,110000000008905,590425100010000000000,000000000000,000000000000,000000000000,00
00000670425120190131382000710650000092018051920180619201901310000000240,242018051920180619201901310000000240,240000000036477,470425100010000000000,000000000000,000000000000,000000000000,00
00000680425120190131382000710650000092018060920180709201901310000000345,452018060920180709201901310000000345,450000000086598,200425100030000000000,000000000000,000000000000,000000000000,00
00000690425120190131382000710650000092018061120180711201901310000000031,252018061120180711201901310000000031,250000000008905,590425100010000000000,000000000000,000000000000,000000000000,00
00000700425120190131382000710650000092018061920180719201901310000000240,712018061920180719201901310000000240,710000000036477,470425100010000000000,000000000000,000000000000,000000000000,00
00000710425120190131382000710650000092018070520180805201901310000000054,252018070520180805201901310000000054,250000000060503,000425100010000000000,000000000000,000000000000,000000000000,00
